Alabama,0.2,18.32,21.16,2.17,0.05,3.58,1.98,1.45
Alaska,14.89,3.07,3.28,2.39,1.25,2.16,1.07,1.53
Arizona,4.04,25.98,2.68,15.25,0.21,11.77,1.88,6.53
Arkansas,0.43,11.57,11.37,4.88,0.29,7.74,1.51,2.79
California,0.58,35.82,4.55,25.12,0.27,15.01,1.2,13.95
Colorado,0.76,13.29,2.64,13.51,0.04,0.56,1.1,3.86
Connecticut,0.21,21.89,7.65,8.43,0.04,13.28,1.38,5.21
Delaware,0.04,20.39,11.12,4.12,0.06,11.25,2.28,1.92
District-of-Columbia,0.3,3.48,23.92,0.94,0.05,5.96,5.11,4.98
Florida,0.11,14.56,10.4,2.95,0.05,12.6,1.17,2.99
Georgia,0.05,30.92,23.9,0.13,0.06,11.6,1.36,2.81
Hawaii,0.26,12.96,1.83,0.04,7.07,7.81,2.99,1.23
Idaho,1.35,19.67,0.09,11.94,0.16,16.3,1.88,3.47
Illinois,0.18,24.47,11.99,5.98,0.02,13.39,1.16,5.93
Indiana,0.13,12.47,4.69,0.49,0.08,13.16,1.91,2.19
Iowa,0.38,18.42,1.28,1.14,0.12,25.26,4.48,1.24
Kansas,0.14,21.54,4.49,5.08,0.08,20.1,4.71,2.46
Kentucky,0.36,15.2,7.11,0.02,0.07,13.29,1.58,0.98
Louisiana,0.57,8.82,23.86,5.78,0.03,7.52,0.87,1.41
Maine,0.65,8.04,0.29,2.52,0.03,16.52,0.27,0.27
Maryland,0.05,24.97,17.64,4.44,0.09,11.99,1.37,4.52
Massachusetts,0.02,23.7,3.92,5.57,0.0,22.44,0.82,4.18
Michigan,0.54,26.4,12.48,1.17,0.18,16.53,0.04,1.18
Minnesota,0.72,17.24,3.12,0.61,0.07,20.89,2.01,1.87
Mississippi,0.48,15.68,21.05,1.11,0.02,10.8,11.15,1.03
Missouri,0.26,18.41,7.62,0.66,0.05,16.17,0.88,1.17
Montana,6.36,10.32,0.5,3.84,0.08,2.8,3.06,0.67
Nebraska,0.92,14.98,0.03,7.41,0.07,11.62,1.54,2.1
Nevada,0.71,13.95,5.72,6.04,0.1,10.14,4.7,10.26
New-Hampshire,0.15,31.24,1.16,1.1,0.03,38.14,1.86,0.56
New-Jersey,0.21,32.25,10.29,11.31,0.02,19.03,0.84,6.29
New-Mexico,7.78,8.17,0.34,24.9,0.08,8.63,2.38,8.63
New-York,0.23,25.65,11.05,7.62,0.01,14.91,0.5,8.66
North-Carolina,1.06,23.37,17.17,2.24,0.07,10.8,2.49,3.09
North-Dakota,5.29,1.18,0.28,1.11,0.11,2.86,5.3,1.07
Ohio,0.42,16.64,8.21,0.29,0.04,14.9,1.66,0.97
Oklahoma,7.04,15.27,5.54,0.75,0.16,8.65,2.13,2.71
Oregon,0.54,20.4,1.6,6.51,0.4,19.96,2.63,3.07
Pennsylvania,0.23,22.37,8.17,2.06,0.05,19.74,1.65,2.15
Rhode-Island,0.5,15.5,6.16,5.07,0.08,9.22,1.55,5.47
South-Carolina,0.57,13.3,21.28,0.66,0.08,0.87,4.33,1.76
South-Dakota,8.75,42.99,2.01,3.79,0.06,26.4,2.62,0.83
Tennessee,0.0,18.99,13.3,0.38,0.06,8.91,0.99,1.38
Texas,0.03,29.95,9.12,18.81,0.0,8.47,1.5,5.82
Utah,1.09,8.02,0.1,5.85,0.89,10.23,5.15,5.04
Vermont,0.34,11.36,0.27,1.33,0.05,17.8,0.15,0.39
Virginia,0.07,32.08,13.99,2.33,0.04,23.5,2.51,2.65
Washington,0.95,30.7,2.74,6.48,0.37,27.87,0.7,4.5
West-Virginia,0.64,13.49,2.85,2.64,0.02,18.87,2.43,0.44
Wisconsin,0.64,8.67,5.39,1.59,0.04,7.88,1.94,2.04
Wyoming,2.11,8.23,0.96,9.87,0.1,6.79,2.67,1.52
